[1, 'Abarth', 1, '124 GT', 1, '1.4 MultiAir (170 Hp) Automatic', 1, 6.6]
[1, 'Abarth', 1, '124 GT', 1, '1.4 MultiAir (170 Hp)', 2, 6.4]
[1, 'Abarth', 1, '124 Spider', 2, '1.4 MultiAir (170 Hp) Automatic', 3, 6.6]
[1, 'Abarth', 1, '124 Spider', 2, '1.4 MultiAir (170 Hp)', 4, 6.4]
[1, 'Abarth', 2, '595C', 3, 'Turismo 1.4 T-Jet (165 Hp) Automatic', 5, 5.8]
[1, 'Abarth', 2, '595C', 3, 'Turismo 1.4 T-Jet (165 Hp)', 6, 6.0]
[1, 'Abarth', 2, '595C', 3, 'Pista 1.4 T-Jet (160 Hp) Automatic', 7, 6.0]
[1, 'Abarth', 2, '595C', 3, 'Pista 1.4 T-Jet (160 Hp)', 8, 5.8]
[1, 'Abarth', 2, '595C', 3, 'Competizione 1.4 T-Jet (180 Hp) Automatic', 9, 5.8]
[1, 'Abarth', 2, '595C', 3, 'Competizione 1.4 T-Jet (180 Hp)', 10, 6.0]
[1, 'Abarth', 2, '595C', 3, '1.4 T-Jet (145 Hp) Automatic', 11, 5.8]
[1, 'Abarth', 2, '595C', 3, '1.4 T-Jet (145 Hp)', 12, 6.0]
[1, 'Abarth', 2, '595', 4, 'Turismo 1.4 T-Jet (165 Hp) Automatic', 13, 5.8]
[1, 'Abarth', 2, '595', 4, 'Turismo 1.4 T-Jet (165 Hp)', 14, 6.0]
[1, 'Abarth', 2, '595', 4, 'Pista 1.4 T-Jet (160 Hp) Automatic', 15, 5.8]
[1, 'Abarth', 2, '595', 4, 'Pista 1.4 T-Jet (160 Hp)', 16, 6.0]
[1, 'Abarth', 2, '595', 4, 'Competizione 1.4 T-Jet (180 Hp) Automatic', 17, 5.8]
[1, 'Abarth', 2, '595', 4, 'Competizione 1.4 T-Jet (180 Hp)', 18, 6.0]
[1, 'Abarth', 2, '595', 4, '1.4 T-Jet (145 Hp) Automatic', 19, 5.8]
[1, 'Abarth', 2, '595', 4, '1.4 T-Jet (145 Hp)', 20, 6.0]
[1, 'Abarth', 3, '695', 5, 'XSR Yamaha 1.4 T-Jet (165 Hp)', 21, 6.0]
[1, 'Abarth', 3, '695', 5, 'Rivale 1.4 T-Jet (180 Hp) Automatic', 22, 5.8]
[1, 'Abarth', 3, '695', 5, 'Rivale 1.4 T-Jet (180 Hp)', 23, 6.0]
[1, 'Abarth', 3, '695', 5, 'Biposto 1.4 T-Jet (190 Hp)', 24, 6.1]
[2, 'AC', 4, 'Ace', 6, '4.9 i V8 (260 Hp)', 25, 8.6]
[2, 'AC', 4, 'Ace', 6, '4.6 i V8 32V (326 Hp)', 26, 10]
[2, 'AC', 4, 'Ace', 6, '3.5 i V8 32V Turbo (354 Hp)', 27, 10]
[2, 'AC', 4, 'Ace', 6, '3.0 i V6 223 (223 Hp)', 28, 10]
[2, 'AC', 4, 'Ace', 6, '2.9 i V6 24V (195 Hp)', 29, 10]
[2, 'AC', 5, 'Aceca', 7, '4.6 i V8 32V (326 Hp)', 30, 10]
[2, 'AC', 5, 'Aceca', 7, '3.5 i V8 32V Turbo (354 Hp)', 31, 10]
[2, 'AC', 6, 'Cobra (Mk IV)', 8, '5.0 V8 (370 Hp)', 32, 10]
[2, 'AC', 6, 'Cobra (Mk IV)', 8, '5.0 V8 (225 Hp)', 33, 10]
[2, 'AC', 6, 'Cobra (Mk IV)', 8, '4.9 V8 (370 Hp)', 34, 10]
[2, 'AC', 6, 'Cobra (Mk IV)', 8, '4.9 i V8 Ligntweignt (340 Hp)', 35, 10]
[2, 'AC', 6, 'Cobra (Mk IV)', 8, '4.9 i V8 Superblower (326 Hp)', 36, 10]
[2, 'AC', 6, 'Cobra (Mk IV)', 8, '4.9 i V8 (250 Hp)', 37, 10]
[2, 'AC', 6, 'Cobra (Mk IV)', 8, '4.9 i V8 (228 Hp)', 38, 10]
[3, 'Acura', 7, 'CL', 9, '3.2 i V6 24V Type S (263 Hp) Automatic', 39, 10]
[3, 'Acura', 7, 'CL', 9, '3.2 i V6 24V Type S (263 Hp)', 40, 10]
[3, 'Acura', 7, 'CL', 9, '3.2 i V6 24V (228 Hp)', 41, 10]
[3, 'Acura', 7, 'CL', 9, '3.0 i V6 24V (203 Hp)', 42, 10]
[3, 'Acura', 7, 'CL', 9, '2.3 i 16V (152 Hp) Automatic', 43, 10]
[3, 'Acura', 7, 'CL', 9, '2.3 i 16V (152 Hp)', 44, 10]
[3, 'Acura', 8, 'CSX', 10, '2.0 i 16V (157 Hp) Automatic', 45, 10]
[3, 'Acura', 8, 'CSX', 10, '2.0 i 16V (157 Hp)', 46, 10]
[3, 'Acura', 8, 'CSX', 10, '2.0 i 16V (157 Hp)', 47, 10]
[3, 'Acura', 9, 'EL', 11, '1.6 i 16V (107 Hp)', 48, 10]
[3, 'Acura', 10, 'ILX (facelift 2019)', 12, '2.4 (201 Hp) Automatic', 49, 8.4]
